起始日,結算日,影像張數,赤葉枯病,茶餅病,藻斑病,真菌性病害,潛葉蠅,薊馬,盲椿象_早期,盲椿象_晚期,茶捲葉蛾,茶姬捲葉蛾,黑姬捲葉蛾,未偵測到病蟲害,備註
2000-01-01,2000-01-07,20,1,2,3,4,5,6,7,8,9,10,11,測試資料
2021-02-13,2021-02-19,65,44,1,4,1,2,2,7,10,6,1,5,4,
2021-02-15,2021-02-21,62,35,1,3,1,3,2,7,10,6,0,5,4,
2021-02-22,2021-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021-03-01,2021-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021-03-08,2021-03-14,7,1,1,4,0,1,2,0,1,0,1,1,1,
2021-03-15,2021-03-21,4,0,0,0,0,0,2,0,0,0,2,0,2,
2021-03-22,2021-03-28,2,0,0,0,0,0,0,0,0,0,0,0,2,
2021-03-29,2021-04-04,2,6,0,0,0,0,0,0,0,0,0,0,0,
2021-04-05,2021-04-11,2,0,0,0,0,1,0,0,0,0,0,0,1,
2021-04-12,2021-04-18,2,4,0,0,0,0,0,0,0,0,0,0,1,
2021-04-19,2021-04-25,1,3,0,0,0,0,0,0,0,0,0,0,0,
2021-04-26,2021-05-02,3,3,0,0,0,0,0,0,0,0,0,0,0,
2021-05-03,2021-05-09,1,1,0,0,0,0,0,0,0,0,0,0,0,
2021-05-10,2021-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021-05-17,2021-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021-05-24,2021-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021-05-31,2021-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021-06-07,2021-06-13,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021-06-14,2021-06-20,4,0,0,0,0,0,0,0,0,0,0,0,0,
2021-06-21,2021-06-27,5,0,0,0,0,0,1,0,0,0,1,0,1,
2021-06-28,2021-07-04,1,0,1,0,0,0,1,0,0,0,0,0,0,
2021-07-05,2021-07-11,7,9,0,2,0,4,0,0,0,0,0,0,0,
2021-07-12,2021-07-18,7,4,0,0,1,0,3,0,3,0,0,2,0,
2021-07-19,2021-07-25,8,5,0,0,0,0,3,0,1,0,0,2,0,
2021-07-26,2021-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021-08-09,2021-08-15,12,15,0,0,0,0,0,0,1,0,0,0,0,
2021-08-16,2021-08-22,5,0,0,0,0,0,1,0,0,0,0,0,4,
2021-08-23,2021-08-29,26,6,0,1,1,0,2,1,9,1,1,1,6,
2021-08-30,2021-09-05,1,0,0,0,0,0,0,0,0,0,0,0,1,
2021-09-06,2021-09-12,7,0,0,0,0,4,1,0,0,0,1,0,4,
2021-09-13,2021-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021-09-20,2021-09-26,8,9,2,0,0,0,1,0,0,0,0,0,3,
2021-09-27,2021-10-03,1,0,0,0,0,0,0,0,0,0,0,0,1,
2021-10-04,2021-10-10,8,1,0,0,0,0,0,0,0,0,0,0,5,
2021-10-11,2021-10-17,1,0,0,0,0,0,0,0,0,0,0,0,1,
2021-10-18,2021-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021-10-25,2021-10-31,39,16,3,2,1,3,11,6,3,0,18,4,5,
2021-11-01,2021-11-07,17,1,3,2,0,8,0,4,0,0,0,0,1,
2021-11-08,2021-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021-11-15,2021-11-21,24,16,4,6,9,3,3,0,2,0,1,0,4,
2021-11-22,2021-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021-11-29,2021-12-05,6,3,3,1,0,0,0,2,0,0,0,0,0,
2021-12-06,2021-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021-12-13,2021-12-19,3,2,0,0,0,0,0,0,0,0,0,1,0,
2021-12-20,2021-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021-12-27,2022-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-01-03,2022-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-01-10,2022-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-01-17,2022-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-01-24,2022-01-30,15,24,0,3,0,2,0,0,0,0,1,0,0,
2022-01-31,2022-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-02-07,2022-02-13,7,3,0,0,0,0,2,0,0,0,0,0,0,
2022-02-14,2022-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-02-21,2022-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-02-28,2022-03-06,2,2,0,0,0,0,0,0,0,0,0,0,0,
2022-03-07,2022-03-13,10,18,0,0,2,1,0,1,0,2,1,0,4,
2022-03-14,2022-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-03-21,2022-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-03-28,2022-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-04-04,2022-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-04-11,2022-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-04-18,2022-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-04-25,2022-05-01,1,0,1,0,0,0,0,0,0,0,0,0,0,
2022-05-02,2022-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-05-09,2022-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-05-16,2022-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-05-23,2022-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-05-30,2022-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-06-06,2022-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-06-13,2022-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-06-20,2022-06-26,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-06-27,2022-07-03,2,5,0,0,0,0,0,0,0,0,0,0,0,
2022-07-04,2022-07-10,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-07-11,2022-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022-07-18,2022-07-24,1,0,0,0,0,0,1,0,0,0,0,0,0,
